account_id,country,solution,outcome,num_touches,full_path,simple_path,first_3_actions,actions_list
001E000001gWQFeIAO,US,MRS,Won,17,Meeting → Follow Up → Email → Email → Email → Email → Meeting → Email → Email → Meeting → Meeting → Email → Email → Meeting → Email → Inbound Call → Inbound Call,Meeting → Follow Up → Email → Email → Email,Meeting → Follow Up → Email,"Meeting,Follow Up,Email,Email,Email,Email,Meeting,Email,Email,Meeting,Meeting,Email,Email,Meeting,Email,Inbound Call,Inbound Call"
001E000001gWQGlIAO,US,MRS,Won,6,Email → Email → Email → Email → Email → Meeting,Email → Email → Email → Email → Email,Email → Email → Email,"Email,Email,Email,Email,Email,Meeting"
001E000001gWQKhIAO,US,MRS,Ongoing,3,Demo → Inbound Call → Demo,Demo → Inbound Call → Demo,Demo → Inbound Call → Demo,"Demo,Inbound Call,Demo"
001E000001gWQM3IAO,US,MRS,Ongoing,6,Email → Email → Email → Inbound Call → Inbound Call → Inbound Call,Email → Email → Email → Inbound Call → Inbound Call,Email → Email → Email,"Email,Email,Email,Inbound Call,Inbound Call,Inbound Call"
001E000001gWQSUIA4,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWQYGIA4,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWQatIAG,US,MRS,Ongoing,3,Email → Email → Email,Email → Email → Email,Email → Email → Email,"Email,Email,Email"
001E000001gWQckIAG,US,MRS,Ongoing,3,Review → Inbound Call → Inbound Call,Review → Inbound Call → Inbound Call,Review → Inbound Call → Inbound Call,"Review,Inbound Call,Inbound Call"
001E000001gWQcqIAG,US,MRS,Won,19,Follow Up → Meeting → Meeting → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Email → Email → Email → Meeting → Meeting → Email → Email → Email → Email → Email → Inbound Call → Inbound Call,Follow Up → Meeting → Meeting → Inbound Call → Inbound Call,Follow Up → Meeting → Meeting,"Follow Up,Meeting,Meeting,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Email,Email,Meeting,Meeting,Email,Email,Email,Email,Email,Inbound Call,Inbound Call"
001E000001gWQefIAG,US,MRS,Lost,14,Meeting → Meeting → Meeting → Meeting → Email → Email → Follow Up → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Meeting → Meeting → Meeting → Meeting → Email,Meeting → Meeting → Meeting,"Meeting,Meeting,Meeting,Meeting,Email,Email,Follow Up,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call"
001E000001gWQetIAG,US,MRS,Won,5,Email → Email → Email → Follow Up → Email,Email → Email → Email → Follow Up → Email,Email → Email → Email,"Email,Email,Email,Follow Up,Email"
