account_id,country,solution,outcome,num_touches,full_path,simple_path,first_3_actions,actions_list
001E000001gWONNIA4,US,MRS,Won,30,Follow Up → Follow Up → Meeting → Follow Up → Follow Up → Meeting → Follow Up → Follow Up → Review → Email → ... → Email → Follow Up → Inbound Call → Meeting → Meeting → Meeting → Inbound Call → Meeting → Inbound Call → Meeting,Follow Up → Follow Up → Meeting → Follow Up → Follow Up,Follow Up → Follow Up → Meeting,"Follow Up,Follow Up,Meeting,Follow Up,Follow Up,Meeting,Follow Up,Follow Up,Review,Email,Email,Review,Follow Up,Email,Email,Email,Email,Email,Email,Follow Up,Email,Follow Up,Inbound Call,Meeting,Meeting,Meeting,Inbound Call,Meeting,Inbound Call,Meeting"
001E000001gWOboIAG,US,MRS,Ongoing,1,Email,Email,Email,Email
001E000001gWOfgIAG,US,MRS,Lost,18,Review → Email → Email → Meeting → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email → Email,Review → Email → Email → Meeting → Email,Review → Email → Email,"Review,Email,Email,Meeting,Email,Email,Email,Email,Email,Email,Email,Email,Email,Email,Email,Email,Email,Email"
001E000001gWOnRIAW,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWOoBIAW,US,MRS,Ongoing,1,Inbound Call,Inbound Call,Inbound Call,Inbound Call
001E000001gWOs1IAG,US,MRS,Lost,10,On-Site → Meeting → Meeting → Meeting → Email → Email → Email → Email → Inbound Call → Inbound Call,On-Site → Meeting → Meeting → Meeting → Email,On-Site → Meeting → Meeting,"On-Site,Meeting,Meeting,Meeting,Email,Email,Email,Email,Inbound Call,Inbound Call"
001E000001gWOsxIAG,US,MRS,Ongoing,3,Follow Up → Email → Email,Follow Up → Email → Email,Follow Up → Email → Email,"Follow Up,Email,Email"
001E000001gWOuLIAW,US,MRS,Lost,18,Meeting → Email → Follow Up → Email → Review → Review → Email → Follow Up → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Meeting → Email → Follow Up → Email → Review,Meeting → Email → Follow Up,"Meeting,Email,Follow Up,Email,Review,Review,Email,Follow Up,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call"
001E000001gWOucIAG,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWOulIAG,US,MRS,Ongoing,12,Review → Inbound Call → Email → Inbound Call → Inbound Call → Email → Email → Inbound Call → Inbound Call → Email → Inbound Call → Email,Review → Inbound Call → Email → Inbound Call → Inbound Call,Review → Inbound Call → Email,"Review,Inbound Call,Email,Inbound Call,Inbound Call,Email,Email,Inbound Call,Inbound Call,Email,Inbound Call,Email"
